PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
1,0,3,male,22,7.25,Southampton
2,1,1,female,38,71.2833,Cherbourg
3,1,3,female,26,7.925,Southampton
4,1,1,female,35,53.1,Southampton
5,0,3,male,35,8.05,Southampton
6,0,3,male,60,8.4583,Queenstown
7,0,1,male,54,51.8625,Southampton
8,0,3,male,2,21.075,Southampton
9,1,3,female,27,11.1333,Southampton
10,1,2,female,14,30.0708,Cherbourg
11,1,3,female,4,16.7,Southampton
12,1,1,female,58,26.55,Southampton
13,0,3,male,20,8.05,Southampton
14,0,3,male,39,31.275,Southampton
15,0,3,female,14,7.8542,Southampton
16,1,2,female,55,16,Southampton
17,0,3,male,2,29.125,Queenstown
18,1,2,male,60,13,Southampton
19,0,3,female,31,18,Southampton
20,1,3,female,60,7.225,Cherbourg
21,0,2,male,35,26,Southampton
22,1,2,male,34,13,Southampton
23,1,3,female,15,8.0292,Queenstown
24,1,1,male,28,35.5,Southampton
25,0,3,female,8,21.075,Southampton
26,1,3,female,38,31.3875,Southampton
27,0,3,male,60,7.225,Cherbourg
28,0,1,male,19,263,Southampton
29,1,3,female,60,7.8792,Queenstown
30,0,3,male,60,7.8958,Southampton
31,0,1,male,40,27.7208,Cherbourg
32,1,1,female,60,146.5208,Cherbourg
33,1,3,female,60,7.75,Queenstown
34,0,2,male,66,10.5,Southampton
35,0,1,male,28,82.1708,Cherbourg
36,0,1,male,42,52,Southampton
37,1,3,male,60,7.2292,Cherbourg
38,0,3,male,21,8.05,Southampton
39,0,3,female,18,18,Southampton
40,1,3,female,14,11.2417,Cherbourg
41,0,3,female,40,9.475,Southampton
42,0,2,female,27,21,Southampton
43,0,3,male,60,7.8958,Cherbourg
44,1,2,female,3,41.5792,Cherbourg
45,1,3,female,19,7.8792,Queenstown
46,0,3,male,60,8.05,Southampton
47,0,3,male,60,15.5,Queenstown
48,1,3,female,60,7.75,Queenstown
49,0,3,male,60,21.6792,Cherbourg
50,0,3,female,18,17.8,Southampton
51,0,3,male,7,39.6875,Southampton
52,0,3,male,21,7.8,Southampton
53,1,1,female,49,76.7292,Cherbourg
54,1,2,female,29,26,Southampton
55,0,1,male,65,61.9792,Cherbourg
56,1,1,male,60,35.5,Southampton
57,1,2,female,21,10.5,Southampton
58,0,3,male,28.5,7.2292,Cherbourg
59,1,2,female,5,27.75,Southampton
60,0,3,male,11,46.9,Southampton
61,0,3,male,22,7.2292,Cherbourg
63,0,1,male,45,83.475,Southampton
64,0,3,male,4,27.9,Southampton
65,0,1,male,60,27.7208,Cherbourg
66,1,3,male,60,15.2458,Cherbourg
67,1,2,female,29,10.5,Southampton
68,0,3,male,19,8.1583,Southampton
69,1,3,female,17,7.925,Southampton
70,0,3,male,26,8.6625,Southampton
71,0,2,male,32,10.5,Southampton
72,0,3,female,16,46.9,Southampton
73,0,2,male,21,73.5,Southampton
74,0,3,male,26,14.4542,Cherbourg
75,1,3,male,32,56.4958,Southampton
76,0,3,male,25,7.65,Southampton
77,0,3,male,60,7.8958,Southampton
78,0,3,male,60,8.05,Southampton
79,1,2,male,0.83,29,Southampton
80,1,3,female,30,12.475,Southampton
81,0,3,male,22,9,Southampton
82,1,3,male,29,9.5,Southampton
83,1,3,female,60,7.7875,Queenstown
84,0,1,male,28,47.1,Southampton
85,1,2,female,17,10.5,Southampton
86,1,3,female,33,15.85,Southampton
87,0,3,male,16,34.375,Southampton
88,0,3,male,60,8.05,Southampton
89,1,1,female,23,263,Southampton
90,0,3,male,24,8.05,Southampton
91,0,3,male,29,8.05,Southampton
92,0,3,male,20,7.8542,Southampton
93,0,1,male,46,61.175,Southampton
94,0,3,male,26,20.575,Southampton
95,0,3,male,59,7.25,Southampton
